id,created_at,account_id,total,refunded
6701334,2019-09-06 13:49:56 UTC,1310496,16200,0
8067947,2019-07-09 16:01:28 UTC,1111835,16200,0
9212381,2019-06-29 17:13:59 UTC,1526637,16200,0
8629903,2019-07-18 06:31:16 UTC,2120658,16200,0
8394507,2019-07-20 06:48:11 UTC,3335785,16200,0
8962763,2019-08-17 21:28:50 UTC,2069082,16200,0
6439216,2019-06-20 06:16:11 UTC,359052,16200,0
6993411,2019-09-19 21:35:45 UTC,2955732,16200,0
8832716,2019-09-01 07:34:20 UTC,2152048,16200,0
9232484,2019-06-26 14:54:31 UTC,775753,16200,0
7118559,2019-09-26 14:58:24 UTC,2136835,16200,0
8934863,2019-08-09 17:41:24 UTC,421344,16200,0
7989931,2019-09-25 09:29:08 UTC,1895695,16200,0
7573762,2019-09-11 09:36:52 UTC,3054386,16200,0
8598162,2019-06-30 11:52:37 UTC,2400568,16200,0
8332513,2019-10-02 13:54:56 UTC,2012968,16200,0
6990076,2019-08-23 22:00:44 UTC,1147770,16200,0
7524761,2019-08-20 15:21:24 UTC,3729087,16200,0
8666143,2019-07-21 08:16:12 UTC,2126780,16200,0
7096047,2019-09-04 12:58:07 UTC,1333751,16200,0
8336713,2019-08-29 04:31:44 UTC,1120960,16200,0
7877012,2019-07-02 00:59:57 UTC,2932076,16200,0
7088685,2019-07-08 08:40:38 UTC,1327923,16200,0
8900815,2019-09-09 04:16:38 UTC,630525,16200,0
8918447,2019-07-13 22:45:59 UTC,2210247,16200,0
9384715,2019-06-27 06:39:54 UTC,528297,16200,0
7448135,2019-08-19 19:11:59 UTC,3372621,16200,0
7845427,2019-08-04 19:13:45 UTC,1376886,16200,0
1359640,2019-08-12 04:59:31 UTC,1707906,16200,0
326533,2019-06-21 13:19:50 UTC,3942371,16200,0
2438633,2019-06-22 06:39:33 UTC,2354334,16200,0
8956944,2019-06-27 03:19:44 UTC,900013,16200,0
6086059,2019-08-20 19:24:31 UTC,1757094,16200,0
2280074,2019-08-12 20:02:55 UTC,2185431,16200,0
6997426,2019-08-15 19:41:02 UTC,1918635,16200,0
1136578,2019-07-22 22:17:41 UTC,3698965,16200,0
4825927,2019-08-11 15:54:32 UTC,805949,16200,0
7508672,2019-08-28 14:50:17 UTC,1013808,16200,0
794517,2019-08-09 02:06:34 UTC,1943089,16200,0
7033163,2019-08-31 12:10:07 UTC,2664288,16200,0
